date	Adventure	Domestic	Fantasy/Scifi	Historical	Horror/Parnormal	Mystery/Crime	Other	Romance	Spy/Politics	Suspense	Literary/None
1950	2	0	0	1	0	0	3	3	1	1	64
1951	3	0	0	3	0	2	2	2	2	0	77
1952	5	2	1	1	1	2	2	4	1	0	62
1953	4	3	1	2	0	1	2	4	2	0	49
1954	1	4	0	4	0	2	4	1	0	0	54
1955	1	2	1	2	0	1	2	0	1	0	65
1956	3	1	0	1	0	0	2	4	2	0	61
1957	4	2	2	1	0	0	4	6	2	0	55
1958	2	3	1	3	0	1	2	5	5	0	53
1959	2	0	0	1	0	3	3	4	4	1	56
1960	1	1	0	0	0	5	4	1	1	1	58
1961	1	2	0	0	0	1	5	4	0	0	57
1962	2	0	1	1	1	2	6	2	0	0	51
1963	2	0	0	0	0	3	2	1	1	0	24
1964	0	1	0	0	0	1	1	0	4	0	30
1965	0	1	0	1	0	1	0	2	5	0	25
1966	0	1	1	1	0	2	0	0	3	0	26
1967	1	3	0	0	1	1	1	1	2	0	28
1968	2	0	1	1	1	0	3	0	3	0	22
1969	1	1	1	3	0	4	2	3	1	1	25
1970	1	2	1	2	1	3	1	3	0	0	23
1971	2	4	0	0	1	5	0	0	2	0	32
1972	2	0	1	0	0	5	2	1	1	0	27
1973	1	2	1	1	1	2	1	1	3	0	27
1974	4	1	0	1	0	4	1	4	7	0	21
1975	5	0	0	0	0	6	2	0	6	0	17
1976	4	0	1	0	1	7	0	1	2	0	27
1977	3	1	3	1	1	5	0	3	3	0	31
1978	2	3	1	1	0	5	2	2	4	1	23
1979	2	2	1	0	2	7	3	2	6	0	35
1980	3	1	4	0	2	7	3	3	7	0	34
1981	2	1	5	1	2	6	3	5	3	0	36
1982	1	4	7	2	3	5	1	5	4	2	33
1983	1	2	12	0	6	4	1	3	4	2	26
1984	3	4	7	1	3	7	4	2	5	0	40
1985	3	2	8	2	4	6	3	4	4	0	42
1986	5	3	12	2	4	7	3	4	6	1	32
1987	4	3	11	3	7	5	3	7	5	0	35
1988	3	1	7	4	5	4	3	6	3	1	36
1989	4	2	7	2	4	11	3	7	6	1	39
1990	6	2	6	0	8	11	4	8	3	2	42
1991	3	3	11	4	7	9	3	9	4	3	38
1992	4	3	9	1	5	12	3	6	1	2	46
1993	5	3	10	1	7	13	0	6	3	0	48
1994	4	2	7	2	6	15	3	3	0	1	54
1995	4	6	4	1	4	9	7	9	2	0	49
1996	5	7	6	2	3	9	5	11	4	0	51
1997	5	2	4	4	4	6	9	6	2	1	69
1998	3	7	3	2	3	12	5	12	3	2	53
1999	4	6	8	2	2	13	7	7	3	4	56
2000	4	10	8	2	1	17	7	5	4	2	67
2001	3	13	8	2	3	13	7	4	6	6	78
2002	0	12	4	0	4	11	2	3	1	3	102
2003	1	8	5	1	3	6	4	3	5	3	110
2004	0	5	5	1	3	9	1	5	3	3	112
2005	2	11	13	3	5	4	6	5	2	8	95
2006	2	12	3	1	5	10	5	7	3	7	120
2007	0	2	4	1	6	6	3	7	1	7	143
2008	0	2	4	1	7	13	6	2	5	5	144
2009	2	5	4	2	8	12	5	2	3	13	150
2010	2	7	4	2	8	7	3	3	2	10	160
2011	1	6	8	3	7	22	3	5	4	15	124
2012	2	2	3	3	12	8	2	7	4	10	151
2013	0	2	4	0	6	15	5	0	3	7	169
2014	1	9	8	3	4	10	0	4	5	8	157
2015	0	2	2	1	4	7	3	4	3	6	159
2016	0	3	3	0	3	6	2	4	2	6	149
2017	1	0	0	0	2	2	1	0	1	2	36
